type,text,url
h1,CNET,https://www.cnet.com/
h2,Today's Top Deals,https://www.cnet.com/
h2,Memorial Day,https://www.cnet.com/
h2,More to Explore,https://www.cnet.com/
h2,Latest,https://www.cnet.com/
h3,80+ Best Memorial Day Deals: Shop Top Sales Vetted by CNET Experts Before Deals Disappear,https://www.cnet.com/
h3,Memorial Day Deal: Beat the Heat With This Yoshenmo Handheld Fan for Just $11,https://www.cnet.com/
h3,Best iPhone in 2025: Here's Which Apple Phone You Should Buy,https://www.cnet.com/
h3,"Best Amazon Memorial Day Deals: Shop 70+ Bargains From Apple, Sony, Samsung and More",https://www.cnet.com/
h3,"50+ Best Memorial Day Deals Under $25: Deep Discounts on Tech, Home Essentials and More",https://www.cnet.com/
h3,"Memorial Day Sale: Apple’s Latest 11-Inch iPad Is Down to $299, but This Price Won’t Last",https://www.cnet.com/
h3,Memorial Day Deals: You Can Grab This Impressive 100W Baseus USB-C Cable at a 10% Discount if You’re Quick,https://www.cnet.com/
h3,Memorial Day Sale: Prime Members Can Save $30 on This Baseus Blade 6-in-1 Power Strip and Get 2 Free 45W USB-C Chargers,https://www.cnet.com/
h3,How to Watch the New York Knicks vs. Indiana Pacers Game 3 Tonight for Free,https://www.cnet.com/
h3,"Best Memorial Day Laptop Deals: I Found Savings of Up to $450 on the Best Devices From HP, Samsung, and More",https://www.cnet.com/
h3,Memorial Day Deal: Save $130 on the Powerful Yet Portable JBL Xtreme 4 Speaker,https://www.cnet.com/
h3,"Today's NYT Strands Hints, Answers and Help for May 26, #449",https://www.cnet.com/
h3,"Today's Wordle Hints, Answer and Help for May 26, #1437",https://www.cnet.com/
h3,"Best Memorial Day Mattress Deals: Shop Major Savings on High-Quality Mattresses From Saatva, Nectar, Helix and More",https://www.cnet.com/
h3,Memorial Day Sales: Save Up to 63% on Our Favorite Arlo Security Cameras and More,https://www.cnet.com/
h2,Google I/O,https://www.cnet.com/
h2,Our Expertise,https://www.cnet.com/
h2,Tech,https://www.cnet.com/
h2,Tariffs,https://www.cnet.com/
h2,Home,https://www.cnet.com/
h2,Crossing the Broadband Divide,https://www.cnet.com/
h2,Energy and Utilities,https://www.cnet.com/
h2,Deep Dives,https://www.cnet.com/
h2,Internet,https://www.cnet.com/
h2,Sleep Through the Night,https://www.cnet.com/
h2,Tech Tips,https://www.cnet.com/
h2,Daily Puzzle Answers,https://www.cnet.com/
h2,Money,https://www.cnet.com/
p,"Snag hand-picked Memorial Day weekend deals on tech, appliances, home gear and everyday essentials.",https://www.cnet.com/
p,"Our shopping experts unearth the best tech and home essential deals on Amazon every day. If you make a purchase using our links, CNET may earn a commission.",https://www.cnet.com/
p,Other companies better watch out because the LG G5 Series OLED just set a new standard for premium TVs.,https://www.cnet.com/
p,President Donald Trump's new tariffs have prompted price hikes in the tech space and cast uncertainty in the US market. Here's what we know.,https://www.cnet.com/
p,"CNET, Mashable, PCMag, ZDNET and Lifehacker scoured miles of booths and exhibits, then debated and handpicked the best new products of CES 2025.",https://www.cnet.com/
p,It just might be the best espresso machine ever for small kitchens.,https://www.cnet.com/
p,Millions of Americans lack access to high-speed internet. Here's how to fix that.,https://www.cnet.com/
p,"After the ups and downs of 2024, experts still feel the future is bright for residential solar.",https://www.cnet.com/
p,"Misconceptions remain around EV driving. In northern Sweden, I saw just how good they really are in frigid temperatures and even driving across a frozen lake.",https://www.cnet.com/
p,Immerse yourself in our in-depth stories.,https://www.cnet.com/
p,I’ve had T-Mobile’s 5G home internet service for two years. It’s superior to DSL but has some quirks I've discovered along the way.,https://www.cnet.com/
p,Get the best sleep of your life with our expert tips.,https://www.cnet.com/
p,Get the most out of your phone with this expert advice.,https://www.cnet.com/
p,"The rise of generative AI is this generation's iPhone moment. In response, we're unveiling AI Atlas, a brand-new compendium of advice, reviews, news and views on artificial intelligence.",https://www.cnet.com/
p,File your return online with one of these tax services so that you can get your refund faster.,https://www.cnet.com/
